time,export_kwh
2024/05/17 14:00,352855.73
2024/05/17 14:30,352912.29
2024/05/17 15:00,352912.29
2024/05/17 15:30,353027.21
2024/05/17 16:00,353161.92
2024/05/17 16:30,353246.76
2024/05/17 17:00,353274.72
2024/05/17 17:30,353274.9
2024/05/17 18:00,353274.9
2024/05/17 18:30,353274.9
2024/05/17 19:00,353274.9
2024/05/17 19:30,353274.9
2024/05/17 20:00,353274.9
2024/05/17 20:30,353274.9
2024/05/17 21:00,353274.9
2024/05/17 21:30,353274.9
2024/05/17 22:00,353274.9
2024/05/17 22:30,353274.9
2024/05/17 23:00,353274.9
2024/05/17 23:30,353274.9
2024/05/18 00:00,353274.9
2024/05/18 00:30,353274.9
2024/05/18 01:00,353274.9
2024/05/18 01:30,353274.9
2024/05/18 02:00,353274.9
2024/05/18 02:30,353274.9
2024/05/18 03:00,353274.9
2024/05/18 03:30,353274.9
2024/05/18 04:00,353274.9
2024/05/18 04:30,353274.9
2024/05/18 05:00,353274.9
2024/05/18 05:30,353274.9
2024/05/18 06:00,353274.9
2024/05/18 06:30,353274.9
2024/05/18 07:00,353274.9
2024/05/18 07:30,353274.9
2024/05/18 08:00,353284.66
2024/05/18 08:30,353346.05
2024/05/18 09:00,353482.14
2024/05/18 09:30,353675.67
2024/05/18 10:00,353925.52
2024/05/18 10:30,354037.87
2024/05/18 11:00,354108.45
2024/05/18 11:30,354194.73
2024/05/18 12:00,354243.73
2024/05/18 12:30,354301.25
2024/05/18 13:00,354354.21
2024/05/18 13:30,354391.11
2024/05/18 14:00,354422.66
2024/05/18 14:30,354428.03
2024/05/18 15:00,354428.03
2024/05/18 15:30,354428.03
2024/05/18 16:00,354428.03
2024/05/18 16:30,354428.03
2024/05/18 17:00,354428.03
2024/05/18 17:30,354428.03
2024/05/18 18:00,354428.03
2024/05/18 18:30,354428.03
2024/05/18 19:00,354428.03
2024/05/18 19:30,354428.03
2024/05/18 20:00,354428.03
2024/05/18 20:30,354428.03
2024/05/18 21:00,354428.03
2024/05/18 21:30,354428.03
2024/05/18 22:00,354428.03
2024/05/18 22:30,354428.03
2024/05/18 23:00,354428.03
2024/05/18 23:30,354428.03
2024/05/19 00:00,354428.03
2024/05/19 00:30,354428.03
2024/05/19 01:00,354428.03
2024/05/19 01:30,354428.03
2024/05/19 02:00,354428.03
2024/05/19 02:30,354428.03
2024/05/19 03:00,354428.03
2024/05/19 03:30,354428.03
2024/05/19 04:00,354428.03
2024/05/19 04:30,354428.03
2024/05/19 05:00,354428.03
2024/05/19 05:30,354428.03
2024/05/19 06:00,354428.03
2024/05/19 06:30,354428.03
2024/05/19 07:00,354428.03
2024/05/19 07:30,354428.03
2024/05/19 08:00,354438.65
2024/05/19 08:30,354510.38
2024/05/19 09:00,354657.41
2024/05/19 09:30,354853.54
2024/05/19 10:00,355106.6
2024/05/19 10:30,355235.19
2024/05/19 11:00,355335.41
2024/05/19 11:30,355466.56
2024/05/19 12:00,355612.62
2024/05/19 12:30,355766.86
2024/05/19 13:00,355920.1
2024/05/19 13:30,356053.53
2024/05/19 14:00,356172.8
2024/05/19 14:30,356212.4
2024/05/19 15:00,356213.18
2024/05/19 15:30,356213.18
2024/05/19 16:00,356213.18
2024/05/19 16:30,356213.18
2024/05/19 17:00,356213.18
2024/05/19 17:30,356213.18
2024/05/19 18:00,356213.18
2024/05/19 18:30,356213.18
2024/05/19 19:00,356213.18
2024/05/19 19:30,356213.18
2024/05/19 20:00,356213.18
2024/05/19 20:30,356213.18
2024/05/19 21:00,356213.18
2024/05/19 21:30,356213.18
2024/05/19 22:00,356213.18
2024/05/19 22:30,356213.18
2024/05/19 23:00,356213.18
2024/05/19 23:30,356213.18
2024/05/20 00:00,356213.18
2024/05/20 00:30,356213.18
2024/05/20 01:00,356213.18
2024/05/20 01:30,356213.18
2024/05/20 02:00,356213.18
2024/05/20 02:30,356213.18
2024/05/20 03:00,356213.18
2024/05/20 03:30,356213.18
2024/05/20 04:00,356213.18
2024/05/20 04:30,356213.18
2024/05/20 05:00,356213.18
2024/05/20 05:30,356213.18
2024/05/20 06:00,356213.18
2024/05/20 06:30,356213.18
2024/05/20 07:00,356213.18
2024/05/20 07:30,356213.18
2024/05/20 08:00,356221.01
2024/05/20 08:30,356286.91
2024/05/20 09:00,356417.49
2024/05/20 09:30,356610.21
2024/05/20 10:00,356837.46
2024/05/20 10:30,357069.39
2024/05/20 11:00,357312.86
2024/05/20 11:30,357601.22
2024/05/20 12:00,357871.92
2024/05/20 12:30,358084.73
2024/05/20 13:00,358299.68
2024/05/20 13:30,358502.43
2024/05/20 14:00,358680.61
2024/05/20 14:30,358840.72
2024/05/20 15:00,358970.14
2024/05/20 15:30,359047.83
2024/05/20 16:00,359100.32
2024/05/20 16:30,359104.92
2024/05/20 17:00,359104.92
2024/05/20 17:30,359104.92
2024/05/20 18:00,359104.92
2024/05/20 18:30,359104.92
2024/05/20 19:00,359104.92
2024/05/20 19:30,359104.92
2024/05/20 20:00,359104.92
2024/05/20 20:30,359104.92
2024/05/20 21:00,359104.92
2024/05/20 21:30,359104.92
2024/05/20 22:00,359104.92
2024/05/20 22:30,359104.92
2024/05/20 23:00,359104.92
2024/05/20 23:30,359104.92
2024/05/21 00:00,359104.92
2024/05/21 00:30,359104.92
2024/05/21 01:00,359104.92
2024/05/21 01:30,359104.92
2024/05/21 02:00,359104.92
2024/05/21 02:30,359104.92
2024/05/21 03:00,359104.92
2024/05/21 03:30,359104.92
2024/05/21 04:00,359104.92
2024/05/21 04:30,359104.92
2024/05/21 05:00,359104.92
2024/05/21 05:30,359104.92
2024/05/21 06:00,359104.92
2024/05/21 06:30,359104.92
2024/05/21 07:00,359104.92
2024/05/21 07:30,359104.92
2024/05/21 08:00,359104.92
2024/05/21 08:30,359105.94
2024/05/21 09:00,359152.09
2024/05/21 09:30,359265.91
2024/05/21 10:00,359432.73
2024/05/21 10:30,359637.82
2024/05/21 11:00,359870.26
2024/05/21 11:30,360131.68
2024/05/21 12:00,360407.77
2024/05/21 12:30,360682.89
2024/05/21 13:00,360944.85
2024/05/21 13:30,361203.81
2024/05/21 14:00,361456.35
2024/05/21 14:30,361666.87
2024/05/21 15:00,361766.47
2024/05/21 15:30,361766.47
2024/05/21 16:00,361766.47
2024/05/21 16:30,361766.47
2024/05/21 17:00,361766.47
2024/05/21 17:30,361766.47
2024/05/21 18:00,361766.47
2024/05/21 18:30,361766.47
2024/05/21 19:00,361766.47
2024/05/21 19:30,361766.47
2024/05/21 20:00,361766.47
2024/05/21 20:30,361766.47
2024/05/21 21:00,361766.47
2024/05/21 21:30,361766.47
2024/05/21 22:00,361766.47
2024/05/21 22:30,361766.47
2024/05/21 23:00,361766.47
2024/05/21 23:30,361766.47
2024/05/22 00:00,361766.47
2024/05/22 00:30,361766.47
2024/05/22 01:00,361766.47
2024/05/22 01:30,361766.47
2024/05/22 02:00,361766.47
2024/05/22 02:30,361766.47
2024/05/22 03:00,361766.47
2024/05/22 03:30,361766.47
2024/05/22 04:00,361766.47
2024/05/22 04:30,361766.47
2024/05/22 05:00,361766.47
2024/05/22 05:30,361766.47
2024/05/22 06:00,361766.47
2024/05/22 06:30,361766.47
2024/05/22 07:00,361766.47
2024/05/22 07:30,361766.47
2024/05/22 08:00,361775.17
2024/05/22 08:30,361841.65
2024/05/22 09:00,361967.07
2024/05/22 09:30,362152.92
2024/05/22 10:00,362377.78
2024/05/22 10:30,362644.58
2024/05/22 11:00,362845.56
2024/05/22 11:30,363039.99
2024/05/22 12:00,363252.26
2024/05/22 12:30,363476.78
2024/05/22 13:00,363678.56
2024/05/22 13:30,363889.4
2024/05/22 14:00,364082.67
2024/05/22 14:30,364247.51
2024/05/22 15:00,364352.32
2024/05/22 15:30,364409.95
2024/05/22 16:00,364415.75
2024/05/22 16:30,364415.75
2024/05/22 17:00,364415.75
2024/05/22 17:30,364415.75
2024/05/22 18:00,364415.75
2024/05/22 18:30,364415.75
2024/05/22 19:00,364415.75
2024/05/22 19:30,364415.75
2024/05/22 20:00,364415.75
2024/05/22 20:30,364415.75
2024/05/22 21:00,364415.75
2024/05/22 21:30,364415.75
2024/05/22 22:00,364415.75
2024/05/22 22:30,364415.75
2024/05/22 23:00,364415.75
2024/05/22 23:30,364415.75
2024/05/23 00:00,364415.75
2024/05/23 00:30,364415.75
2024/05/23 01:00,364415.75
2024/05/23 01:30,364415.75
2024/05/23 02:00,364415.75
2024/05/23 02:30,364415.75
2024/05/23 03:00,364415.75
2024/05/23 03:30,364415.75
2024/05/23 04:00,364415.75
2024/05/23 04:30,364415.75
2024/05/23 05:00,364415.75
2024/05/23 05:30,364415.75
2024/05/23 06:00,364415.75
2024/05/23 06:30,364415.75
2024/05/23 07:00,364415.75
2024/05/23 07:30,364415.75
2024/05/23 08:00,364417.13
2024/05/23 08:30,364457.42
2024/05/23 09:00,364574.67
2024/05/23 09:30,364738.56
2024/05/23 10:00,364850.77
2024/05/23 10:30,364925.65
2024/05/23 11:00,365028.61
2024/05/23 11:30,365135.88
2024/05/23 12:00,365217.25
2024/05/23 12:30,365316.07
2024/05/23 13:00,365418.06
2024/05/23 13:30,365507.94
2024/05/23 14:00,365579
2024/05/23 14:30,365621.58
2024/05/23 15:00,365626.64
2024/05/23 15:30,365626.64
2024/05/23 16:00,365626.64
2024/05/23 16:30,365626.64
2024/05/23 17:00,365626.64
2024/05/23 17:30,365626.64
